dateid,date,day,month,year,quarter
01072005,2005-07-01,01,07,2005,Q3
08052019,2019-05-08,08,05,2019,Q2
01102004,2004-10-01,01,10,2004,Q4
01072004,2004-07-01,01,07,2004,Q3
31032019,2019-03-31,31,03,2019,Q1
01032004,2004-03-01,01,03,2004,Q1
31052019,2019-05-31,31,05,2019,Q2
01112003,2003-11-01,01,11,2003,Q4
08102019,2019-10-08,08,10,2019,Q4
01122003,2003-12-01,01,12,2003,Q4
27032019,2019-03-27,27,03,2019,Q1
01022004,2004-02-01,01,02,2004,Q1
13022020,2020-02-13,13,02,2020,Q1
10062019,2019-06-10,10,06,2019,Q2
01052005,2005-05-01,01,05,2005,Q2
04052019,2019-05-04,04,05,2019,Q2
01012004,2004-01-01,01,01,2004,Q1
01062019,2019-06-01,01,06,2019,Q2
01092003,2003-09-01,01,09,2003,Q3
07102019,2019-10-07,07,10,2019,Q4
01042004,2004-04-01,01,04,2004,Q2
17022020,2020-02-17,17,02,2020,Q1
01112002,2002-11-01,01,11,2002,Q4
28022019,2019-02-28,28,02,2019,Q1
01062004,2004-06-01,01,06,2004,Q2
21022020,2020-02-21,21,02,2020,Q1
01082004,2004-08-01,01,08,2004,Q3
28052019,2019-05-28,28,05,2019,Q2
19112019,2019-11-19,19,11,2019,Q4
25102019,2019-10-25,25,10,2019,Q4
01032005,2005-03-01,01,03,2005,Q1
09052019,2019-05-09,09,05,2019,Q2
11102019,2019-10-11,11,10,2019,Q4
07052019,2019-05-07,07,05,2019,Q2
01092004,2004-09-01,01,09,2004,Q3
03052019,2019-05-03,03,05,2019,Q2
01122004,2004-12-01,01,12,2004,Q4
06052019,2019-05-06,06,05,2019,Q2
01022003,2003-02-01,01,02,2003,Q1
29032019,2019-03-29,29,03,2019,Q1
01082005,2005-08-01,01,08,2005,Q3
20052019,2019-05-20,20,05,2019,Q2
01012005,2005-01-01,01,01,2005,Q1
01092002,2002-09-01,01,09,2002,Q3
27022019,2019-02-27,27,02,2019,Q1
19022020,2020-02-19,19,02,2020,Q1
20102019,2019-10-20,20,10,2019,Q4
01052004,2004-05-01,01,05,2004,Q2
25082019,2019-08-25,25,08,2019,Q3
01062005,2005-06-01,01,06,2005,Q2
19052019,2019-05-19,19,05,2019,Q2
