subjectid,description
10001,"The question is about Scatter Diagram, part of the topic of Data Representation, that is part of the subject Data and Statistics, in the area of Maths"
10002,"The question is about 2D Pythagoras, part of the topic of Pythagoras, that is part of the subject Geometry and Measure, in the area of Maths"
10003,"The question is about Angles in Triangles, part of the topic of Angles, that is part of the subject Geometry and Measure, in the area of Maths"
10004,"The question is about Circumference, part of the topic of Circles, that is part of the subject Geometry and Measure, in the area of Maths"
10005,"The question is about Basic Angle Facts (straight line, opposite, around a point, etc), part of the topic of Angles, that is part of the subject Geometry and Measure, in the area of Maths"
10006,"The question is about Substitution into Formula, part of the topic of Formula, that is part of the subject Algebra, in the area of Maths"
10007,"The question is about Rounding to Decimal Places, part of the topic of Rounding and Estimating, that is part of the subject Number, in the area of Maths"
10008,"The question is about Writing Expressions, part of the topic of Writing and Simplifying Expressions, that is part of the subject Algebra, in the area of Maths"
10009,"The question is about Parts of a Circle, part of the topic of Circles, that is part of the subject Geometry and Measure, in the area of Maths"
10010,"The question is about Simplifying Expressions by Collecting Like Terms, part of the topic of Writing and Simplifying Expressions, that is part of the subject Algebra, in the area of Maths"
10011,"The question is about Box Plots, part of the topic of Data Representation, that is part of the subject Data and Statistics, in the area of Maths"
10012,"The question is about Upper and Lower Bounds, part of the topic of Rounding and Estimating, that is part of the subject Number, in the area of Maths"
10013,"The question is about Expanding Double Brackets, part of the topic of Expanding Brackets, that is part of the subject Algebra, in the area of Maths"
10014,"The question is about Factorising into a Single Bracket, part of the topic of Factorising, that is part of the subject Algebra, in the area of Maths"
10015,"The question is about Multiplying Terms, part of the topic of Writing and Simplifying Expressions, that is part of the subject Algebra, in the area of Maths"
10016,"The question is about Area of a Circle, part of the topic of Circles, that is part of the subject Geometry and Measure, in the area of Maths"
10017,"The question is about Dividing Terms, part of the topic of Writing and Simplifying Expressions, that is part of the subject Algebra, in the area of Maths"
10018,"The question is about Writing Expressions, part of the topic of Writing and Simplifying Expressions, that is part of the subject Algebra, in the area of Maths"
10019,"The question is about Rounding to Significant Figures, part of the topic of Rounding and Estimating, that is part of the subject Number, in the area of Maths"
10020,"The question is about Types of Data and Questionnaires, part of the topic of Data Collection, that is part of the subject Data and Statistics, in the area of Maths"
10021,"The question is about Basic Angle Facts (straight line, opposite, around a point, etc), part of the topic of Angles, that is part of the subject Geometry and Measure, in the area of Maths"
10022,"The question is about Data Collection-Others, part of the topic of Data Collection, that is part of the subject Data and Statistics, in the area of Maths"
10023,"The question is about Averages and Range from Grouped Data, part of the topic of Data Processing, that is part of the subject Data and Statistics, in the area of Maths"
10024,"The question is about Expanding Single Brackets, part of the topic of Expanding Brackets, that is part of the subject Algebra, in the area of Maths"
10025,"The question is about Pictogram, part of the topic of Data Representation, that is part of the subject Data and Statistics, in the area of Maths"
10026,"The question is about Nets, part of the topic of 3D Shapes, that is part of the subject Geometry and Measure, in the area of Maths"
10027,"The question is about Multiplying and Dividing with Decimals, part of the topic of Decimals, that is part of the subject Number, in the area of Maths"
10028,"The question is about Percentage Increase and Decrease, part of the topic of Percentages, that is part of the subject Number, in the area of Maths"
10029,"The question is about Prime Numbers and Prime Factors, part of the topic of Factors, Multiples and Primes, that is part of the subject Number, in the area of Maths"
10030,"The question is about Ordering Decimals, part of the topic of Decimals, that is part of the subject Number, in the area of Maths"
