userid,dateofbirthid,geoid,gender
17397,01072005,1,1
95904,01102004,2,2
35717,01072004,3,1
67433,01032004,4,2
90547,01112003,5,1
17274,01122003,6,2
52103,01022004,7,2
20895,01032004,8,2
36282,01052005,9,2
75390,01012004,10,1
110588,01092003,11,2
101341,01042004,12,1
51816,01112002,13,1
25796,01062004,14,2
51463,01082004,1,2
62084,01042004,15,2
24191,01092003,16,1
42267,01032005,17,2
61580,01072004,18,1
868,01032005,19,2
95519,01092004,20,1
94587,01122004,21,1
114938,01022003,22,1
20772,01032005,23,1
111357,01082005,24,2
105942,01012005,25,1
89045,01092002,26,1
109993,01112003,27,1
110402,01032004,21,2
29771,01042004,28,2
58289,01052004,29,2
65920,01062005,30,2
79095,01122004,31,2
115221,01042005,32,1
46514,01012003,33,2
23838,01082005,32,2
86212,01092003,10,1
74172,01092004,25,1
15107,01042004,30,2
3118,01012005,34,2
118099,01122003,8,1
110454,01012004,26,2
89441,01102003,35,2
51768,01092004,10,2
38886,01072004,36,1
31491,01102003,17,1
7403,01082005,37,1
14017,01062005,34,2
58689,01052005,38,1
68308,01112003,26,2
79189,01042005,5,2
11716,01102003,21,1
43405,01032004,19,2
89908,01072005,36,1
15120,01122004,39,1
47887,01092003,40,2
34400,01102003,41,1
26439,01032005,18,2
49472,01072005,14,2
47629,01062005,23,2
10010,01022004,42,1
92222,01052004,2,2
113435,01102003,5,2
10401,01042004,43,2
26604,01092004,44,2
86236,01052005,45,1
63822,01112004,11,2
92030,01072004,44,1
26951,01062005,24,1
28330,01052004,17,2
44848,01032005,46,2
70248,01102004,11,1
61670,01102003,24,2
66841,01082005,47,1
75849,01072004,48,2
86949,01082005,29,1
37970,01012005,49,2
8383,01092004,44,2
22268,01082004,4,2
111558,01082004,3,1
3684,01112004,27,2
102487,01042004,43,1
92512,01102003,50,1
27866,01092004,8,1
61163,01042005,39,2
66556,01022004,23,2
27812,01112003,4,2
98925,01072004,13,1
71955,01012005,48,2
8390,01082004,35,2
15332,01012004,29,2
71788,01062004,34,1
21917,01112004,3,1
113485,01092003,24,2
48065,01112004,11,1
9061,01072004,22,1
96080,01052005,18,2
59072,01042005,41,1
67797,01062005,36,1
97595,01072004,39,1
27349,01022004,51,2
257,01042004,52,1
18982,01102004,26,2
60296,01092004,1,2
81562,01062005,49,2
88388,01042004,20,1
64331,01092004,44,1
11028,01052005,24,1
49698,01012005,4,2
94882,01112004,53,2
35669,01082004,54,1
74282,01042004,43,2
30350,01122003,11,2
62630,01022004,1,1
35390,01022005,18,2
105783,01032004,55,2
110212,01112003,45,1
94216,01112004,40,1
16713,01012004,10,1
21119,01032004,30,2
29541,01022004,44,2
66045,01072004,9,2
35460,01012004,6,2
24887,01062004,17,1
331,01042004,23,2
1458,01032004,29,2
39413,01042004,53,1
43979,01012004,25,2
57869,01082006,34,1
81214,01092005,26,2
1871,01052004,38,2
52053,01022006,39,2
109694,01082006,21,2
8982,01072006,52,1
42735,01082004,5,1
64991,01012006,56,2
100227,01082006,11,2
50993,01052006,49,2
10538,01032006,39,2
5575,01052005,57,1
29633,01092003,24,2
113059,01052006,8,1
87730,01062004,58,1
12653,01012004,42,2
30736,01122003,26,2
20316,01052004,49,1
94785,01012004,30,1
85217,01072005,35,1
7049,01052004,37,2
22319,01032006,3,2
4314,01062004,34,2
90576,01092004,23,1
67409,01062006,51,1
3533,01102003,21,2
98258,01022004,8,1
27646,01082005,59,1
81551,01012005,29,1
112040,01082006,6,1
49874,01122003,25,1
46345,01042006,58,1
42289,01022005,17,2
32886,01092003,6,2
101807,01022006,28,2
111085,01082004,30,2
39405,01042006,54,2
104381,01072005,44,1
42944,01082006,52,2
109449,01122005,18,1
18149,01112005,14,1
78402,01082006,33,1
87568,01082006,32,1
61465,01062006,17,1
8283,01032004,43,1
110445,01082004,1,1
58858,01022006,40,2
96277,01052005,28,1
31992,01062006,21,2
48262,01102005,30,1
70698,01092003,24,2
43427,01052005,60,1
118066,01082006,60,1
8829,01122005,52,1
31326,01032004,13,1
52807,01062004,61,1
10435,01012006,19,1
111054,01072005,19,2
100746,01042006,32,2
12322,01072006,35,1
46127,01122004,19,1
24215,01042006,39,1
110821,01102004,5,2
69015,01012005,11,1
50035,01122004,26,1
109387,01022005,28,1
60919,01112004,41,2
40873,01102004,15,2
48443,01032003,23,2
1229,01012004,14,1
74476,01012004,36,2
102681,01052004,58,2
60078,01092003,52,2
30056,01112003,43,2
109277,01022004,30,2
42741,01112003,28,2
33589,01122003,34,2
86578,01052004,25,2
53611,01082005,8,2
118832,01062004,35,2
69440,01072004,51,2
92563,01112003,62,1
77890,01052004,3,1
20863,01052004,63,1
111804,01122003,64,1
110999,01012004,49,2
9208,01022004,24,1
50765,01112002,11,2
5270,01042006,10,1
1413,01122002,11,2
28502,01092003,11,1
887,01072004,29,2
57078,01092003,11,2
1624,01102003,16,1
118433,01042004,27,2
63188,01042004,15,2
72884,01082004,52,2
27339,01012004,22,2
41154,01102003,55,1
63817,01122003,29,1
31333,01062004,46,1
12244,01072006,8,2
66312,01022004,64,2
18976,01102002,48,2
24225,01082003,61,1
81055,01082004,51,2
96532,01042004,34,2
112045,01112003,57,2
37224,01102003,51,1
107781,01122004,3,1
16399,01082004,11,1
68953,01102004,64,1
51205,01012004,21,1
64518,01052004,19,2
107745,01122003,52,1
101880,01022004,27,2
57912,01082004,65,1
5330,01042005,31,2
47837,01082004,14,1
79419,01092003,10,2
109578,01072004,17,1
77064,01022004,40,2
73738,01012005,66,1
68749,01062004,8,1
49317,01042004,8,1
28548,01032004,55,2
58407,01092004,3,2
21600,01052004,22,1
67902,01102004,9,1
60922,01042004,51,1
3995,01022004,67,1
50247,01112004,3,2
24594,01062004,52,2
70392,01032004,44,2
65410,01042005,10,1
54591,01092004,64,2
29615,01082004,35,1
48208,01092004,51,1
101534,01052004,21,1
19811,01012004,13,1
62487,01022006,25,1
44938,01122003,68,2
43111,01092003,15,2
107041,01082005,58,1
46487,01102004,1,1
118965,01122004,21,2
68369,01022004,12,1
74540,01082006,60,1
487,01122004,25,1
8812,01092003,34,2
96788,01022004,41,2
61790,01022004,25,2
87134,01122003,69,1
21436,01072004,11,1
31185,01072006,1,1
101642,01032005,53,2
73207,01052005,43,1
100429,01012004,32,1
82159,01032005,1,1
68628,01092003,66,1
8344,01022006,60,1
103522,01092004,58,2
55305,01082006,26,1
43644,01122005,11,1
96135,01062004,2,2
52258,01112003,6,2
111424,01102003,10,1
73164,01052005,26,2
83190,01062006,1,1
28839,01042005,58,1
96467,01112003,41,1
16772,01082005,25,2
27302,01122004,34,2
35635,01092005,21,1
78912,01062006,9,2
71367,01092005,32,1
86917,01082004,53,1
2004,01042004,17,2
75508,01082006,70,2
45511,01022004,46,1
34635,01062006,71,2
39040,01092003,8,2
111476,01082004,7,2
68246,01102005,52,2
14285,01112003,9,2
102776,01112003,58,1
52301,01042004,21,1
90982,01022004,53,2
74386,01062004,19,1
38832,01022004,44,2
30314,01072006,52,1
39290,01022006,4,2
67618,01012006,44,1
16313,01112003,53,2
49549,01052005,51,2
79098,01022005,27,1
10351,01052004,42,1
69208,01042004,39,2
13406,01022006,26,2
69589,01062005,4,1
39544,01022006,5,1
37344,01112005,56,1
51264,01072006,5,1
31592,01092004,17,1
115949,01102003,71,1
5461,01012006,56,2
95170,01082004,29,2
42825,01052006,4,2
11650,01102003,25,2
54560,01042004,15,2
26398,01062006,15,1
54870,01112003,55,2
15586,01012006,70,2
60105,01072006,28,2
96168,01122003,11,2
50024,01082005,60,1
45256,01122005,29,1
22386,01092005,62,1
16204,01042006,34,2
12408,01082005,6,1
611,01032006,4,1
5030,01072006,66,1
3376,01122005,57,2
28136,01092003,53,2
56690,01052004,8,1
84645,01062004,25,1
110348,01042006,58,2
44451,01022004,22,1
89020,01082005,48,2
45004,01032006,6,2
2733,01112005,62,1
71436,01122005,19,2
91430,01072006,24,1
46839,01082004,19,1
27717,01052004,3,2
63367,01102005,44,1
95568,01052006,66,1
75354,01102005,43,2
19726,01042006,40,1
3934,01112005,8,1
30369,01122004,26,1
87504,01052004,40,1
101794,01092003,51,2
6816,01032006,53,2
117005,01082006,22,1
109077,01122003,63,1
58677,01042006,65,1
94713,01062006,19,1
48758,01102003,10,1
17644,01092005,5,1
63401,01072005,72,1
47337,01062006,49,1
40493,01082006,22,2
45994,01052006,71,1
59319,01092005,13,2
27013,01022004,10,1
106652,01062003,30,2
37225,01072005,5,2
97793,01082004,14,1
85396,01092004,62,2
51522,01102004,15,1
15475,01072005,49,2
6837,01052004,58,1
19814,01062004,26,2
110397,01022005,39,2
102069,01012004,34,1
47033,01042004,49,2
72164,01092003,11,2
3734,01062004,25,2
53017,01112003,66,2
1882,01112003,6,2
48721,01082004,22,2
76446,01022004,39,2
96408,01072004,30,1
4094,01112003,10,2
31612,01032004,8,2
95106,01032006,15,2
71866,01062004,44,2
76130,01042004,70,2
114534,01072004,10,1
56977,01112005,8,2
78958,01072004,32,1
71781,01012004,3,2
6101,01072004,16,2
9084,01102003,28,2
58308,01082004,66,2
83098,01052004,23,1
41011,01082006,41,1
2219,01082004,71,2
37203,01042006,29,1
59665,01112003,34,1
19268,01032004,15,2
36643,01062004,35,2
26229,01012004,12,2
52158,01022004,40,1
98366,01092003,10,1
38430,01092003,17,2
91678,01062004,29,2
1676,01082003,23,1
47058,01042005,60,1
27696,01102004,6,1
48501,01042004,32,2
28410,01072004,64,1
86854,01032006,33,2
5032,01082004,49,2
76989,01072005,64,2
56484,01042006,68,2
85726,01072005,64,2
83894,01012004,10,2
27162,01022005,15,1
48269,01092004,47,1
22953,01062005,25,1
106201,01062006,49,2
31354,01022003,57,2
110759,01032004,58,2
58952,01032005,71,1
42803,01112004,40,1
88227,01052005,40,2
16322,01122002,36,1
12159,01082006,11,2
117537,01112004,29,2
89990,01092003,52,1
28452,01022004,25,2
25207,01082005,38,2
65967,01112002,39,1
45447,01112003,69,1
86092,01052004,9,1
109709,01022006,32,2
94036,01082004,44,2
83816,01112003,11,2
10857,01062004,9,2
105926,01082004,40,2
13821,01042004,27,2
45403,01032004,6,1
90338,01032005,14,2
34131,01052004,54,1
31838,01052005,14,2
110452,01122002,73,2
32619,01042004,64,2
4549,01042004,6,2
59344,01052003,30,2
86751,01042004,62,2
99798,01112003,26,1
110189,01092004,49,2
64355,01112005,67,2
96333,01102003,17,1
65223,01092003,15,1
99403,01072006,40,2
30735,01102005,52,2
53636,01062004,25,1
107269,01042004,14,1
46331,01022004,39,1
37583,01022004,14,1
6581,01032004,32,2
8732,01122005,54,1
101753,01032004,41,2
42283,01052004,62,2
28994,01042004,59,1
19826,01112003,3,2
42012,01102004,62,1
36877,01052005,33,1
18000,01102003,53,2
21724,01052005,60,2
107657,01122004,16,2
23589,01102003,8,2
58836,01052004,61,2
71831,01062004,16,2
25059,01022004,66,1
82507,01072006,49,2
11930,01052004,2,1
28071,01072006,8,1
16185,01052004,17,1
116465,01012006,24,2
49295,01022006,36,1
80135,01092003,26,1
29827,01102005,49,1
51222,01112003,65,1
59174,01032004,3,1
34472,01022005,22,2
73007,01112003,15,2
86563,01122005,5,1
82724,01072006,44,2
23615,01092005,64,1
97479,01112005,72,1
85535,01012006,64,2
79933,01072006,24,2
24013,01012004,9,1
36350,01012004,4,2
83596,01092003,23,1
57007,01112005,25,1
3976,01052004,25,1
94616,01052004,31,1
67892,01012006,43,1
81502,01102003,74,1
47552,01012006,62,1
18387,01122003,34,1
67915,01092005,49,1
25273,01092005,29,1
66923,01022006,75,2
3588,01072006,64,2
81508,01092003,4,1
14032,01112003,29,1
2147,01062006,41,2
87674,01032006,69,1
86463,01102003,29,1
35674,01072004,24,2
15351,01062006,5,1
18679,01072006,65,2
105863,01062004,44,2
98712,01042006,32,1
42573,01112005,31,2
23454,01112005,2,2
57187,01022006,15,1
66111,01012006,76,2
41201,01102005,62,1
14986,01072004,69,2
5264,01032004,44,2
98760,01072004,66,1
114592,01112003,15,2
1322,01122003,69,2
109865,01022004,44,2
12453,01112003,3,2
92174,01072004,56,1
301,01102003,60,2
10685,01022004,20,2
64948,01042004,35,1
102360,01042004,23,1
46375,01122003,8,2
76807,01102003,52,2
4917,01042004,60,1
108856,01072004,21,2
36313,01052005,52,2
55541,01102003,33,2
65635,01092003,43,1
116263,01072005,30,1
92912,01052006,40,2
116371,01052004,66,1
22820,01032004,58,1
51814,01052004,38,2
20172,01072004,64,1
106573,01042004,8,1
42937,01082004,38,1
57281,01072005,69,1
98722,01102003,53,2
106435,01112003,8,1
80703,01062004,44,1
18916,01122003,6,2
86263,01072004,38,1
79000,01052004,34,1
96329,01072004,31,1
23883,01122003,69,2
52163,01032004,66,2
60740,01112003,61,1
74856,01052004,13,2
33830,01032005,41,1
43019,01072004,54,2
86676,01012004,22,1
42173,01012004,52,1
28201,01112003,35,1
20093,01102003,6,1
17511,01122004,23,2
69482,01032004,52,1
104118,01022005,11,2
32872,01032005,14,1
69171,01012004,17,2
18833,01032006,28,1
27164,01052004,8,2
13239,01122003,2,1
41395,01092002,35,2
11566,01012004,17,1
109002,01082004,26,2
33068,01052004,74,1
85154,01072005,31,1
40020,01032005,27,1
4700,01122005,59,2
16814,01112003,64,2
20005,01032004,2,2
50306,01092002,71,2
54861,01122004,73,2
6251,01072004,53,1
3537,01122004,3,2
51970,01012003,42,1
96053,01052004,43,1
113747,01012008,76,2
78084,01082004,3,2
70407,01122004,17,1
117135,01112005,66,2
115440,01102003,26,1
79398,01042006,44,1
19452,01102003,51,1
28189,01082006,14,1
90101,01072006,21,1
102138,01042006,8,1
7113,01012006,29,2
58423,01052006,35,1
5600,01052004,22,1
98013,01042004,39,1
28623,01082004,29,2
116070,01032004,15,1
100299,01092005,6,2
13901,01042005,5,1
72179,01012004,72,2
101902,01012003,17,1
92046,01102003,29,1
67472,01112003,49,2
109103,01012004,64,2
56860,01092003,29,2
23938,01052004,23,2
15319,01112004,13,2
31298,01112003,56,1
49716,01072004,33,2
54752,01122003,25,2
7966,01082006,27,1
23383,01022004,24,1
4319,01082004,40,2
52995,01022005,74,1
46924,01022004,14,1
30932,01052004,19,2
102081,01052004,44,2
33852,01042004,28,2
111735,01122005,46,2
5457,01032005,53,2
10002,01062004,24,1
1255,01112003,62,2
80909,01122003,13,2
8878,01082004,41,2
11794,01112003,1,2
61918,01102003,1,2
95019,01112003,54,1
67400,01072004,8,2
14335,01122004,53,2
90481,01122005,44,2
10267,01082005,17,2
4355,01072003,75,2
14565,01082004,37,2
31436,01022004,22,1
23331,01102003,65,1
35543,01022004,58,1
5918,01072004,43,1
93427,01082005,13,1
66402,01052005,14,2
82302,01102003,30,2
54117,01112003,14,2
74438,01052004,51,1
87288,01022004,13,2
41590,01092005,26,1
44624,01032004,43,2
100723,01022004,38,1
19378,01112004,44,1
2423,01102004,44,1
45796,01042005,15,1
47833,01052005,5,2
53484,01082005,6,1
60108,01112004,52,2
106430,01102004,59,2
70314,01012005,14,1
94930,01012004,62,2
117233,01022004,41,2
107430,01072004,69,1
52832,01052004,19,1
114186,01082004,53,1
15428,01082004,32,1
30096,01122004,59,2
96583,01112003,76,2
72555,01092004,71,2
